Observation,Slice#,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_083RI_FMOVIE109_VIMS,0,2008-08-30T16:19:11,31.78,351.66,6.956,7.7,7.328,20.905,26.548,23.727,103.18,110.271,106.726,84.677,88,1.83954,0.51725,0.5163,0.11792
ISS_085RF_FMOVIE003_PRIME_1,0,2008-09-15T23:01:19,65.92,248.78,5.248,5.789,5.518,41.461,48.005,44.733,126.377,132.641,129.509,84.925,50,0.81249,0.20376,0.51279,0.11493
ISS_085RF_FMOVIE003_PRIME_2,0,2008-09-16T06:34:07,120.46,245.34,5.287,6.073,5.68,48.221,53.0,50.611,130.326,135.655,132.991,84.928,34,0.77359,0.17998,0.52444,0.11189
ISS_087RF_FMOVIE003_PRIME,0,2008-09-30T16:28:15,0.0,359.98,4.905,5.855,5.38,44.651,54.237,49.444,125.562,136.736,131.149,85.155,77,0.83574,0.1711,0.54888,0.12855
ISS_089RF_FMOVIE003_PRIME,0,2008-10-14T22:37:51,0.0,359.98,5.66,6.458,6.059,38.92,46.087,42.503,117.97,127.251,122.61,85.375,81,1.04095,0.20366,0.55926,0.11817
ISS_091RF_FMOVIE003_PRIME,0,2008-10-29T20:23:27,27.78,335.28,5.749,8.673,7.211,43.519,55.778,49.648,127.867,141.26,134.563,85.606,85,1.06211,0.32133,0.72873,0.19403
ISS_092RF_FMOVIE003_PRIME,0,2008-11-07T03:06:39,230.4,300.66,5.826,6.169,5.998,48.894,51.155,50.024,132.839,135.374,134.107,85.728,19,0.79886,0.1156,0.55685,0.08194
ISS_093RF_FMOVIE003_PRIME,0,2008-11-14T15:06:39,0.0,359.98,6.052,6.615,6.333,40.236,46.93,43.583,126.077,132.494,129.285,85.848,62,0.80891,0.10967,0.51188,0.07628
ISS_094RF_FMOVIE001_PRIME_1,0,2008-11-21T21:26:55,0.0,359.98,6.23,6.567,6.398,36.091,41.009,38.55,121.865,126.966,124.415,85.959,47,0.80033,0.10279,0.45166,0.0594
ISS_094RF_FMOVIE001_PRIME_2,0,2008-11-22T04:36:47,81.96,175.66,6.362,6.926,6.644,43.731,46.363,45.047,125.857,129.081,127.469,85.961,25,0.72101,0.11027,0.43811,0.0671
