Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Radial Res,Mean Angular Res,Mean Phase,Mean Emission,Incidence,Normal EW Mean,Normal EW Std,Normal EW139900 Mean,Normal EW139905 Mean,Normal EW139910 Mean,Normal EW139915 Mean,Normal EW139920 Mean,Normal EW139925 Mean,Normal EW139930 Mean,Normal EW139935 Mean,Normal EW139940 Mean,Normal EW139945 Mean,Normal EW139950 Mean,Normal EW139955 Mean,Normal EW139960 Mean,Normal EW139965 Mean,Normal EW139970 Mean,Normal EW139975 Mean,Normal EW139980 Mean,Normal EW139985 Mean,Normal EW139990 Mean,Normal EW139995 Mean,Normal EW140000 Mean,Normal EW140005 Mean,Normal EW140010 Mean,Normal EW140015 Mean,Normal EW140020 Mean,Normal EW140025 Mean,Normal EW140030 Mean,Normal EW140035 Mean,Normal EW140040 Mean,Normal EW140045 Mean,Normal EW140050 Mean,Normal EW140055 Mean,Normal EW140060 Mean,Normal EW140065 Mean,Normal EW140070 Mean,Normal EW140075 Mean,Normal EW140080 Mean,Normal EW140085 Mean,Normal EW140090 Mean,Normal EW140095 Mean,Normal EW140100 Mean,Normal EW140105 Mean,Normal EW140110 Mean,Normal EW140115 Mean,Normal EW140120 Mean,Normal EW140125 Mean,Normal EW140130 Mean,Normal EW140135 Mean,Normal EW140140 Mean,Normal EW140145 Mean
ISS_039RF_FMOVIE001_VIMS,9920,1,2007-02-27T12:49:35,198.4,198.4,10.207703,0.0,103.76648,144.84999,76.43975463,1.34983701,0.0,0.00086699,0.00090189,0.00088332,0.00087584,0.00102227,0.00112016,0.00110492,0.00109504,0.00108937,0.00119743,0.00124714,0.00122102,0.00139121,0.00164609,0.00164842,0.0016515,0.00165456,0.00166062,0.00178072,0.00205984,0.00210008,0.00225856,0.00234852,0.00270588,0.00272514,0.00289192,0.00289077,0.00284081,0.00270961,0.00329453,0.00329535,0.00364664,0.0036864,0.00321634,0.00316484,0.00336989,0.00342177,0.00382926,0.00393175,0.0041027,0.00417643,0.00399236,0.00391394,0.00392372,0.00393051,0.00417692,0.00424667,0.0041773,0.00413164,0.00404378
ISS_039RF_FMOVIE001_VIMS,9921,1,2007-02-27T12:49:35,198.42,198.42,10.207539,0.0,103.76655,144.85132,76.43975463,1.34743004,0.0,0.00093135,0.00090298,0.00089653,0.00101972,0.00105115,0.00106535,0.00107192,0.00118028,0.0012528,0.00126222,0.00126878,0.00134537,0.00146496,0.00148629,0.00150762,0.0015559,0.0016279,0.00179255,0.0020391,0.00209393,0.00222073,0.00229154,0.00245563,0.00256089,0.00297938,0.00292623,0.00271109,0.00275646,0.00315804,0.00317516,0.0036348,0.00363565,0.00367294,0.00367379,0.00320239,0.00315077,0.00366319,0.00372088,0.00406917,0.00415687,0.00396722,0.00392044,0.0037291,0.00364758,0.00404821,0.0042204,0.00445976,0.00461962,0.00430209,0.00412242
ISS_039RF_FMOVIE001_VIMS,9922,1,2007-02-27T12:49:35,198.44,198.44,10.207376,0.0,103.76662,144.85269,76.43975463,1.3375307,0.0,0.00089534,0.0009137,0.00106509,0.00108268,0.00108019,0.00108021,0.00094655,0.00091379,0.00115682,0.00126147,0.00124757,0.00123859,0.00138252,0.00150617,0.00163819,0.00166058,0.00167691,0.00169323,0.00183808,0.0020549,0.00214552,0.002281,0.00239884,0.00267265,0.00281107,0.0031329,0.00309479,0.00293976,0.00301533,0.00331503,0.00334499,0.00360775,0.00387625,0.00342198,0.00342284,0.00317497,0.00317584,0.0040365,0.00413289,0.00417038,0.00417531,0.00403039,0.0039948,0.00393406,0.00391952,0.00419667,0.00431594,0.00437309,0.00439808,0.00414652
ISS_039RF_FMOVIE001_VIMS,9923,1,2007-02-27T12:49:35,198.46,198.46,10.207213,0.0,103.766716,144.85403,76.43975463,1.3350361,0.0,0.00092444,0.00109427,0.00109523,0.00096509,0.00095149,0.00093795,0.0009373,0.00107148,0.00110574,0.00124813,0.0013097,0.00144441,0.0015027,0.00149907,0.00149697,0.00160769,0.00167089,0.00177198,0.00187307,0.00198286,0.00209265,0.00228653,0.00257686,0.00271319,0.00291722,0.00293101,0.0029619,0.00296553,0.00297272,0.00310756,0.00364404,0.00364634,0.00365924,0.00363333,0.00339333,0.00339468,0.00364544,0.00364641,0.00415424,0.0041552,0.00408601,0.00407918,0.00396837,0.00395692,0.00414205,0.00418905,0.00436801,0.00441347,0.00422769,0.00414862
ISS_039RF_FMOVIE001_VIMS,9924,1,2007-02-27T12:49:35,198.48,198.48,10.20705,0.0,103.76678,144.85538,76.43975463,1.3242274,0.0,0.0007446,0.00074556,0.00091836,0.00091931,0.00093322,0.00093417,0.00108735,0.00110522,0.00126646,0.00130749,0.00128489,0.00127996,0.00143655,0.00150421,0.00148927,0.00148341,0.00161562,0.00170408,0.0019576,0.00208651,0.00217707,0.00226764,0.00249865,0.00272966,0.00282843,0.00297612,0.00297741,0.00297887,0.0031088,0.00341069,0.00346484,0.00367858,0.00363603,0.00346296,0.00345588,0.00338447,0.00347316,0.00395942,0.00396037,0.00410644,0.0041074,0.00367109,0.00367204,0.00369337,0.00369659,0.00438243,0.00445949,0.00437909,0.00435971,0.00407636
ISS_039RF_FMOVIE001_VIMS,9925,1,2007-02-27T12:49:35,198.5,198.5,10.206888,0.0,103.76685,144.85672,76.43975463,1.32288891,0.0,0.00077609,0.00093703,0.0009383,0.00094209,0.00094307,0.00110538,0.00110636,0.00108442,0.00108285,0.00126981,0.00129145,0.00127241,0.00126838,0.00145846,0.00150671,0.0015975,0.00163697,0.00179859,0.00186841,0.00197292,0.00222563,0.00226364,0.00223711,0.00257775,0.0029184,0.00293887,0.0029691,0.0029675,0.00296461,0.00311679,0.00347057,0.00345541,0.00341876,0.00338452,0.00324463,0.00333708,0.00370395,0.00375312,0.0041966,0.00418055,0.00394956,0.00395054,0.0038832,0.00388418,0.0041767,0.00417768,0.0044346,0.00446402,0.004259,0.00420848
ISS_039RF_FMOVIE001_VIMS,9926,1,2007-02-27T12:49:35,198.52,198.52,10.206726,0.0,103.76693,144.85806,76.43975463,1.32163503,0.0,0.000944,0.0009447,0.0009434,0.00096327,0.00112391,0.0011178,0.00111237,0.00111332,0.0011193,0.00112025,0.00126426,0.0012811,0.00146705,0.00148855,0.00150445,0.00150914,0.00162756,0.00165788,0.00183306,0.00190868,0.00214396,0.00230113,0.00242765,0.00251228,0.00262876,0.00274524,0.00286761,0.00298998,0.00315289,0.00339678,0.0035302,0.00372986,0.00362282,0.0033718,0.00345801,0.00365788,0.00371307,0.00393098,0.00398014,0.0041739,0.00419506,0.00368335,0.0036843,0.00403577,0.00403672,0.00450478,0.00450573,0.00441666,0.00440761,0.00418724
ISS_039RF_FMOVIE001_VIMS,9927,1,2007-02-27T12:49:35,198.54,198.54,10.206564,0.0,103.76699,144.8594,76.43975463,1.31316328,0.0,0.00078959,0.00091913,0.00088522,0.00074715,0.00076624,0.00093158,0.00101864,0.00113902,0.00113984,0.00129274,0.00129355,0.00129064,0.00129145,0.00145423,0.00147304,0.00163293,0.00167352,0.00188425,0.00193754,0.00203128,0.00207191,0.00226191,0.0023438,0.00258055,0.00282707,0.00284958,0.00277644,0.00287052,0.00296459,0.00321661,0.00346862,0.00345441,0.00343268,0.00332616,0.00316596,0.00331209,0.00365198,0.00375651,0.00417221,0.00411735,0.00389546,0.00389783,0.00390272,0.00392684,0.00434583,0.00434664,0.00433093,0.00433174,0.00401656,0.00401737
ISS_039RF_FMOVIE001_VIMS,9928,1,2007-02-27T12:49:35,198.56,198.56,10.206403,0.0,103.76706,144.86075,76.43975463,1.33030931,0.0,0.00075462,0.00076261,0.0007804,0.00081015,0.00092718,0.00094754,0.00112561,0.00112633,0.00118248,0.00131103,0.00134049,0.00134114,0.00154881,0.00154947,0.00151829,0.00151541,0.00171119,0.00173352,0.00201477,0.00208557,0.0021145,0.00212222,0.00253393,0.00271075,0.00277111,0.00279735,0.00278921,0.00279438,0.00308518,0.00337598,0.00354307,0.00371016,0.00359953,0.00343325,0.00339224,0.00333039,0.00343893,0.00369133,0.00384034,0.00418715,0.00408791,0.00368898,0.00370392,0.00376173,0.00385943,0.00452892,0.00449603,0.00419476,0.00419541,0.0036795
ISS_039RF_FMOVIE001_VIMS,9929,1,2007-02-27T12:49:35,198.58,198.58,10.20624,0.0,103.767136,144.86212,76.43975463,1.32481084,0.0,0.00070627,0.00094165,0.00093534,0.00091974,0.00092466,0.00094236,0.00097769,0.00111706,0.00113035,0.00124474,0.00126707,0.0014628,0.00146345,0.00150174,0.0015024,0.00171009,0.00171074,0.0018757,0.00189461,0.00200752,0.00203624,0.00223683,0.00228747,0.00260125,0.0027361,0.00284425,0.00289097,0.0027848,0.00274442,0.00341604,0.00368284,0.00355594,0.00342904,0.0032069,0.00298475,0.00335617,0.00391297,0.0040101,0.00415547,0.00416733,0.00419411,0.00409174,0.0036803,0.00376466,0.00410012,0.00413626,0.00445903,0.00446303,0.00426881,0.00426947
