Observation,Date,Coverage,Min Res,Median Ph,Median Em,Incidence,Inertial,Nav qual,Bkgnd qual,Prometheus,Pandora,2012,2014,For Archive,For Photometry,For Width,For Clumps,Additional Comments,Prom C-S,Pan C-S,Clumps
ISS_168RF_FMOVIE002_PRIME,2012-06-27 23:36:30,27.53,4.28,135.17,109.32,75.14,1,0,0,0,0,0,0,0,0,0,0,Overexposed,,,
ISS_168RI_PROPRETRG001_PRIME,2012-07-03 00:11:09,16.86,11.57,44.53,96.63,75.08,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_170RF_HIRESFRNG001_PRIME,2012-08-12 22:51:09,1.26,0,122.44,62.86,74.59,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_172RI_SPOKEMOV001_PRIME,2012-09-18 19:10:21,100,137.07,93.17,120.32,74.14,1,3,3,1,1,0,0,-1,0,0,0,XXX Needs cleanup,5,,
ISS_172RI_SPOKEMOV002_PRIME,2012-09-19 17:55:41,97.02,116.78,105.46,121.05,74.13,1,3,3,1,0,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_172RF_FMOVIE001_PRIME,2012-09-20 17:37:33,85.52,10.02,113.04,121.92,74.12,1,1,1,0,0,0,0,1,1,1,1,,3 BAN,3 AB,
ISS_172RI_BETPEGOCC001_VIMS,2012-09-22 17:32:13,4.15,6.94,134.99,121.74,74.1,1,3,1,0,0,0,0,-1,1,1,1,XXX Needs cleanup,,,
ISS_172ST_URGAMPEG001_UVIS,2012-09-23 21:59:25,4.07,3.85,153.47,110.22,74.09,1,1,1,0,0,0,0,1,1,1,1,Missing data near inner and outer radial limits causes background model to omit some longitudes,,,
ISS_172RI_EGAPMOVMP002_PRIME,2012-10-01 13:11:25,100,14.31,73.14,115.55,73.99,1,2,1,0,0,0,0,1,1,1,1,,1 BA,,
ISS_173RI_SPOKEMOV001_PRIME,2012-10-06 19:24:45,94.45,162.08,93.19,124.54,73.93,1,1,2,0,0,0,0,1,0,0,0,,,,
ISS_173RI_SPOKEMOV002_PRIME,2012-10-10 23:56:13,66.03,151.3,103.96,127.68,73.88,1,3,-1,0,0,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_173RI_SPOKEMOV003_PRIME,2012-10-12 23:00:45,100,119.08,114.76,128.64,73.86,1,3,-1,0,0,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_173RF_FMOVIE001_PRIME_1,2012-10-15 19:43:57,63.87,7.72,139.39,124.08,73.83,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_173RF_FMOVIE001_PRIME_2,2012-10-16 03:46:37,63.83,7.21,157.24,120.89,73.82,1,1,1,0,0,0,0,1,1,1,1,,2 BAB,,
ISS_173RF_HIRESFRNG001_PRIME,2012-10-18 12:58:05,1.47,2.94,73.36,39.66,73.8,1,2,1,0,0,0,0,-1,1,1,1,,,,
ISS_174RI_SPOKEMOV001_PRIME,2012-11-03 13:49:17,100,151.95,103.19,127.44,73.61,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_174RI_SPOKEMOV002_PRIME,2012-11-05 11:48:45,100,124.25,112.4,128.37,73.58,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_174RI_SPOKEMOV004_PRIME,2012-11-07 23:09:17,86.77,87.8,129.7,126.56,73.56,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_174RF_FRSTRCHAN001_PRIME_1,2012-11-08 21:59:57,50.24,7.42,153.21,122.53,73.55,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_174RF_FRSTRCHAN001_PRIME_2,2012-11-09 05:18:21,50.19,6.44,146.48,120.63,73.54,1,2,1,0,0,0,0,1,1,1,1,,,3 A,
ISS_176RF_FMOVIE001_PRIME,2012-12-06 18:33:01,91.14,8.23,107.2,147.37,73.22,1,1,1,0,0,0,0,1,1,-1,-1,Images are not contiguous in longitude,3 BA,,
ISS_177RF_FMOVIE001_PRIME_1,2012-12-18 20:33:33,41.07,9.54,95.15,136.14,73.09,1,1,1,1,0,0,0,1,1,1,1,,3 BA,,
ISS_177RF_FMOVIE001_PRIME_2,2012-12-19 02:29:49,40.51,9.73,90.66,140.51,73.09,1,1,1,0,0,0,0,1,1,1,1,,3 BA,,
ISS_177RI_SPOKEMOV001_PRIME,2012-12-19 19:33:17,90.71,90.93,97.61,139.05,73.08,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_177RF_FRSTRCHAN001_PRIME_1,2012-12-25 02:34:37,49.68,0,19,78.91,73.02,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_177RF_FRSTRCHAN001_PRIME_2,2012-12-25 09:20:29,32.71,6.34,11.81,83.04,73.02,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_178RI_EGAPMOVMP001_PRIME,2012-12-30 13:19:57,47.3,10.04,72.84,128.84,72.95,1,1,1,0,0,0,0,1,0,0,0,Images are not contiguous in longitude; missing data near inner and outer radial limits causes background model to have few remaining valid longitudes,,,
ISS_178RI_SPOKEMOV001_PRIME,2013-01-02 11:35:25,80.62,90.16,103.32,139.15,72.92,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_179RF_FMOVIE001_PRIME,2013-01-13 18:33:33,100,9.5,90.42,135.35,72.79,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_179RI_SPOKEMOV001_PRIME,2013-01-16 03:13:33,88.25,79.45,109.19,139.69,72.77,1,2,2,0,0,0,0,-1,0,0,0,,,,
ISS_179RF_FRINGPHOT001_VIMS,2013-01-17 23:20:29,25.68,0,156.29,120.56,72.75,1,1,1,0,0,0,0,1,1,1,1,Missing data near inner and outer radial limits causes background model to omit some longitudes,2 BABN,,
ISS_180RI_RLYROCC001_VIMS,2013-01-26 18:44:13,4.04,10.09,83.85,130.83,72.65,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_180RF_FMOVIE001_PRIME,2013-01-27 17:43:25,84.08,10.65,93.58,141.41,72.64,1,1,1,0,0,0,0,1,1,1,1,,3 BAR,,
ISS_180RI_SPOKEMOV001_PRIME,2013-01-28 17:14:05,41.07,102.51,96.61,137.92,72.63,1,1,1,0,0,0,0,1,0,1,1,,,,
ISS_180RI_SPOKEMOV002_PRIME,2013-01-29 17:23:41,54.93,75.93,111.77,139.97,72.62,1,2,1,0,0,0,0,1,0,1,1,,,,
ISS_180RI_RCASOCC001_VIMS,2013-01-30 09:59:57,13.56,6.26,130.92,146.06,72.61,1,1,1,0,0,0,0,1,1,1,1,Occultation star is visible at multiple locations in the mosaic,,,
ISS_180RF_HIRESFRNG001_PRIME,2013-02-01 15:06:37,23.94,2.83,58.16,24.47,72.58,1,1,1,0,0,0,0,1,1,1,1,Images are not contiguous in longitude,2 BAB,,
ISS_181RF_FMOVIE001_PRIME,2013-02-09 18:25:33,100,9.22,94.11,137.72,72.49,1,1,1,0,0,0,0,1,1,1,1,,2 BA,,
ISS_181RI_SPOKEMOV001_PRIME,2013-02-11 17:03:25,38.39,84.4,105.41,140.01,72.47,1,3,-1,-1,-1,0,0,-1,-1,-1,-1,XXX Needs cleanup,,,
ISS_181RF_FRINGPHOT001_VIMS,2013-02-13 14:14:21,33,3.56,157.59,119.16,72.45,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_181RF_FRINGPHOT002_VIMS,2013-02-14 00:09:01,19.73,2.96,151.55,97.44,72.45,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_183RF_FMOVIE001_PRIME_1,2013-03-04 22:20:13,41.32,9,70.2,130.06,72.24,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_183RF_FMOVIE001_PRIME_2,2013-03-05 04:20:13,40.52,11.67,79.1,130.12,72.24,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_183RI_SPOKEMOV001_PRIME,2013-03-06 22:18:37,85.11,69.64,109.48,147.39,72.21,1,1,1,0,0,0,0,1,0,-1,-1,,,,
ISS_184RI_SPOKEMOV002_PRIME,2013-03-18 15:13:33,39.72,76.56,102.67,144.59,72.09,1,3,-1,-1,-1,0,0,-1,-1,-1,-1,XXX Needs cleanup,,,
ISS_184RF_FMOVIE001_PRIME,2013-03-18 20:15:25,39.64,7.44,106.29,145.38,72.09,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_184RF_FMOVIE002_PRIME,2013-03-27 13:23:41,77.18,9.65,58.46,121.54,71.99,1,1,1,0,0,0,0,1,1,1,1,,2 BAB,,
ISS_185RI_RHYAOCC001_VIMS_1,2013-04-04 07:59:25,2.12,10.53,17.39,60.52,71.91,1,1,1,0,0,0,0,1,1,1,0,,,,
ISS_185RI_RHYAOCC001_VIMS_2,2013-04-04 13:25:17,2.06,5.53,17.21,60.63,71.91,1,1,1,0,0,0,0,1,1,1,0,,,,
ISS_189RF_FMOVIE001_PRIME,2013-05-06 12:10:05,99.18,9.37,56.64,117.08,71.56,1,2,1,1,0,0,0,1,1,1,1,,3 BA,,
ISS_191RF_FMOVIE002_PRIME,2013-05-27 09:05:33,95.93,7.9,89.13,140.94,71.34,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_191RI_RCASOCCB001_VIMS,2013-05-29 18:03:09,1.81,6.7,130.35,146.09,71.32,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_191RF_FMOVIE001_PRIME,2013-06-01 01:45:33,7.83,3.57,108.03,54.88,71.29,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,Focuses on three specific co-rotating longitudes for no obvious reason,,,
ISS_193RF_FMOVIE001_PRIME_1,2013-06-19 22:58:37,54.84,8.19,72.05,133.64,71.1,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_193RF_FMOVIE001_PRIME_2,2013-06-20 06:57:01,54.57,8.03,86.16,137.77,71.09,1,1,1,0,0,0,0,1,1,1,1,,2 BAB,,
ISS_194RF_FMOVIE001_PRIME_1,2013-07-02 02:38:53,54.08,8.71,84.13,139.12,70.97,1,1,1,0,0,0,0,1,1,1,1,,2 BAN,,
ISS_194RF_FMOVIE001_PRIME_2,2013-07-02 10:36:45,54.23,10.67,79.31,135.55,70.97,1,1,1,0,0,0,0,1,1,1,1,,2 BAN,,
ISS_194RI_MUCEPOCC001_VIMS,2013-07-03 17:29:01,2.78,7.2,109.86,149.98,70.96,1,1,1,0,0,0,0,1,1,1,1,Occultation star is visible at multiple locations in the mosaic,,,
ISS_196RF_FMOVIE003_PRIME,2013-08-20 21:55:41,100,9.06,64.31,121,70.46,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RF_FMOVIE004_PRIME,2013-08-24 10:02:37,100,10.88,111.86,143.38,70.43,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RF_FMOVIE005_PRIME,2013-08-26 09:47:41,100,12.43,130.87,139.6,70.41,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RF_FMOVIE006_PRIME,2013-08-28 09:38:05,98.2,13.94,147.78,131.15,70.39,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RI_BETANDOCC001_VIMS,2013-08-29 06:11:09,3.65,15.74,149.84,131.41,70.39,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_197RF_FMOVIE007_PRIME,2013-09-07 08:26:05,77.04,9.15,109.51,51.34,70.29,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_197RI_WHYAOCC001_VIMS,2013-09-10 16:01:01,2.36,7.33,19.46,55.38,70.26,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_197RF_FMOVIE002_PRIME,2013-09-15 08:06:53,60.06,9.63,96.53,138.98,70.21,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_198RI_RLYROCC001_VIMS,2013-10-16 08:01:01,2.4,9.11,80.65,130.76,69.91,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_198RF_FMOVIE001_PRIME_1,2013-10-18 16:59:09,54.62,11.25,120.26,138.66,69.89,1,1,1,0,0,0,0,1,1,1,1,,3 BAN,,
ISS_198RF_FMOVIE001_PRIME_2,2013-10-19 00:57:01,54.82,11.43,115.61,138.85,69.89,1,2,1,0,0,0,0,1,1,1,1,,3 BAN,,
