Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std,Core Offset Median,Core Offset Mean,Core Offset Std
ISS_051RI_LPMRDFMOV001_PRIME,0,15876,2007-10-18T21:11:11,0.0,359.98,186.73,144.552,191.659,173.919,152.847,154.102,153.501,0.01,359.99,31.257,17.49222,82.40354,29.780245,54.89929,57.0026,56.085976,93.99601,94.14145,94.080635,79.85007706,88.2,7.8902269,1.36287876,0.56116309,0.09503677,2.22608769,0.41729264,0.15839401,0.02943334,2.32447655,0.90793698,0.16519602,0.0638794,3.33966267,1.03872373,0.23757305,0.07349358,0.64475869,0.12327205,0.60683239,0.11669246,40.0,30.29,40.533
ISS_055RF_FMOVIE001_VIMS,0,16438,2007-12-31T15:47:27,24.94,353.68,189.31,167.018,175.673,171.296,352.059,353.575,352.82,174.283,182.118,178.475,9.031588,10.012331,9.51054,62.87852,67.79643,65.262505,122.06584,123.77398,122.905975,80.96044552,91.32,1.14747555,0.25332002,0.62368401,0.13952601,0.40291548,0.08602745,0.21896401,0.04754476,0.47525744,0.21454568,0.25834406,0.11703929,0.26930262,0.05027309,0.14637594,0.02802732,0.67179742,0.16018597,0.61215831,0.14508941,10.0,0.102,40.242
ISS_055RI_LPMRDFMOV001_PRIME,0,18000,2008-01-07T08:07:59,0.0,359.98,179.99,121.045,125.695,123.46,10.098,11.77,10.941,110.425,114.261,112.519,9.418148,10.140599,9.799267,19.030485,22.697548,20.901663,99.56268,102.61458,101.1326,81.06294608,100.0,2.93423992,0.45431945,0.56539883,0.09364358,1.09494837,0.18476422,0.21074673,0.03740439,1.08253782,0.37549422,0.20943596,0.07786048,0.75675373,0.10599605,0.14521613,0.01645386,0.62317727,0.11267871,0.61932084,0.11181945,0.0,-4.377,33.847
ISS_057RF_FMOVIE001_VIMS,0,16117,2008-01-23T14:10:23,0.0,359.98,163.32,139.872,147.568,143.888,53.982,55.451,54.713,85.8,93.586,89.176,9.781918,10.452332,10.033365,42.46434,46.13509,44.25531,117.107254,119.432,118.24938,81.30750416,89.54,1.2125187,0.27762319,0.57349761,0.12941022,0.42368558,0.09889367,0.20030759,0.04602764,0.49524181,0.22800258,0.23427897,0.10753704,0.29359131,0.08567509,0.13891105,0.03946335,0.62022214,0.14884765,0.59997103,0.14409541,5.0,-2.84,35.792
ISS_059RF_FMOVIE001_VIMS,0,16612,2008-02-17T12:25:03,0.0,359.98,193.33,311.63,319.2,315.647,121.291,122.82,122.056,190.169,196.76,193.59,8.523694,9.348781,8.934932,42.96986,47.115616,44.96549,121.279434,124.364914,122.765854,81.68679308,92.29,1.09112781,0.31713366,0.59023406,0.17015318,0.39015265,0.07706224,0.2111495,0.04191023,0.50363985,0.27863621,0.27247642,0.15010969,0.19733532,0.03254911,0.10660814,0.01646516,0.64468084,0.19933533,0.62278723,0.19266387,-10.0,-21.55,45.675
ISS_059RF_FMOVIE002_VIMS,0,18000,2008-02-24T12:27:11,0.0,359.98,179.99,283.439,296.597,292.501,140.196,141.862,141.03,142.887,154.844,151.471,9.266293,10.376451,9.476601,23.655603,26.862076,25.225801,104.39143,108.349785,106.388016,81.79431974,100.0,2.06066884,0.41190113,0.58056518,0.12119211,0.75644525,0.14455285,0.21202805,0.03585049,0.87222545,0.37479961,0.24666934,0.10929661,0.43199814,0.0454405,0.12186778,0.01601418,0.64142281,0.14664938,0.63552417,0.14517445,-5.0,-17.869,44.018
ISS_061RI_LPMRDFMOV001_PRIME,0,10861,2008-03-15T10:14:07,139.08,356.28,247.68,103.989,126.669,117.574,193.952,194.855,194.414,269.134,292.717,283.16,7.9881363,22.224962,9.04864,12.615798,15.163169,13.915541,94.20672,97.14055,95.7306,82.09252538,60.34,5.25796787,1.06680578,0.51041033,0.05834342,2.00287051,0.31265283,0.19662008,0.02560882,1.78097798,0.58889491,0.17282169,0.0500049,1.47411938,0.41726723,0.14096855,0.0218384,0.58746786,0.08020116,0.58591927,0.08003723,10.0,1.553,33.325
ISS_068RF_FMOVIE001_VIMS,0,8301,2008-05-15T23:55:27,0.0,359.98,174.17,128.699,142.676,135.102,0.207,1.856,0.971,128.492,140.82,134.131,5.377157,6.5681148,6.0424504,44.145966,56.18628,49.294357,126.22192,136.35631,130.6433,83.03749436,46.12,0.79662101,0.12809617,0.51821624,0.08927551,0.28198355,0.04373049,0.18308482,0.02835119,0.32998882,0.11876217,0.21499006,0.07966056,0.18464864,0.01356708,0.12014136,0.01159542,0.56638391,0.10613153,0.54182071,0.10022352,0.0,-1.505,32.653
ISS_075RF_FMOVIE002_VIMS,0,17932,2008-07-05T01:53:35,0.0,359.98,179.88,118.141,127.033,122.562,135.442,137.115,136.28,342.699,349.918,346.282,6.012622,6.8845673,6.4754257,28.937925,37.32032,32.890133,112.49486,121.12215,116.616974,83.80674796,99.62,1.14735149,0.16775729,0.51202804,0.07861645,0.41148617,0.06785517,0.18328523,0.02923743,0.46556203,0.13711565,0.20827546,0.0649084,0.27030329,0.03021783,0.12046735,0.0125244,0.56798589,0.09413705,0.55852474,0.09201175,0.0,-2.243,21.56
ISS_079RF_FRINGMRLF002_PRIME,0,11291,2008-08-06T01:42:23,79.6,305.4,192.5,149.487,151.755,150.289,221.828,222.865,222.345,286.622,289.927,287.944,8.63476,13.674567,10.894095,21.174719,28.065361,24.34721,63.58754,72.5095,68.243774,84.29531438,62.73,1.6395697,0.44301669,0.60493245,0.17208259,0.58688405,0.16479063,0.2153168,0.05888457,0.74712599,0.31306148,0.27695069,0.12129782,0.30555966,0.04426199,0.11266495,0.0182472,0.68573067,0.20559436,0.67979452,0.20356468,-15.0,-17.989,22.217
