Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_033RF_FMOVIE001_VIMS,0,17166,2006-11-25T16:52:47,0.0,359.98,10.04,10.408,10.174,159.649,160.813,160.266,119.085,122.613,120.886,75.128,95.36666666666666,10.86612,1.54248,5.5699,0.75871
ISS_036RF_FMOVIE001_VIMS,0,18000,2006-12-23T09:43:43,0.0,359.98,11.699,11.85,11.773,158.585,161.006,159.767,122.63,125.777,124.287,75.513,100.0,11.38563,4.47381,6.42702,2.62245
ISS_036RF_FMOVIE002_VIMS,0,16046,2007-01-05T14:31:59,0.0,359.98,10.175,10.557,10.362,131.067,135.709,133.367,143.631,145.695,144.777,75.696,89.14444444444445,2.69684,2.34501,2.19938,1.90495
ISS_039RF_FMOVIE001_VIMS,0,18000,2007-02-27T07:18:39,0.0,359.98,10.153,10.245,10.194,101.403,108.096,104.843,143.666,146.751,145.321,76.44,100.0,1.48791,0.80803,1.21976,0.65327
ISS_039RF_FMOVIE002_VIMS,0,16520,2007-02-10T11:47:11,0.0,359.98,10.222,10.287,10.255,125.326,131.163,128.211,146.776,148.766,147.939,76.201,91.77777777777779,2.31883,1.38687,1.96344,1.17245
ISS_039RF_FMOVIE003_VIMS,0,3535,2007-02-11T15:43:11,74.0,144.68,10.106,10.164,10.132,136.474,137.878,137.127,143.367,144.375,143.942,76.211,19.63888888888889,2.2872,0.31601,1.84889,0.25467
ISS_041RF_FMOVIE001_VIMS,0,15410,2007-03-31T09:35:11,44.0,352.18,11.851,11.957,11.863,82.179,85.653,83.939,128.183,130.514,129.406,76.896,85.61111111111111,1.7403,0.74028,1.10166,0.46059
ISS_041RF_FMOVIE002_VIMS,0,18000,2007-03-17T03:49:19,0.0,359.98,10.416,10.754,10.593,106.21,111.872,109.034,143.602,145.442,144.574,76.694,100.0,1.63493,0.84601,1.33129,0.6861
ISS_043RF_FMOVIE001_VIMS,0,17830,2007-04-18T03:26:39,0.0,359.98,12.019,12.323,12.172,83.668,87.286,85.497,125.62,127.654,126.643,77.153,99.05555555555556,1.76121,0.76104,1.05136,0.45475
ISS_044RF_FMOVIE001_VIMS,0,18000,2007-05-05T04:51:11,0.0,359.98,11.896,12.369,12.136,80.254,83.496,81.885,118.64,120.156,119.404,77.399,100.0,2.02404,0.70312,0.99593,0.35531
ISS_051RI_LPMRDFMOV001_PRIME,0,15876,2007-10-18T21:11:11,0.0,359.98,17.492,82.404,29.78,54.899,57.003,56.086,93.996,94.141,94.081,79.85,88.2,7.88958,1.36285,0.56112,0.09503
ISS_055RF_FMOVIE001_VIMS,0,16438,2007-12-31T15:47:27,24.94,353.68,9.032,10.012,9.511,62.879,67.796,65.263,122.066,123.774,122.906,80.96,91.32222222222222,1.1475,0.25332,0.6237,0.13952
ISS_055RI_LPMRDFMOV001_PRIME,0,18000,2008-01-07T08:07:59,0.0,359.98,9.418,10.141,9.799,19.03,22.698,20.902,99.563,102.615,101.133,81.063,100.0,2.93417,0.45432,0.56539,0.09364
ISS_057RF_FMOVIE001_VIMS,0,16117,2008-01-23T14:10:23,0.0,359.98,9.782,10.452,10.033,42.464,46.135,44.255,117.107,119.432,118.249,81.308,89.53888888888889,1.2125,0.27762,0.57349,0.12941
ISS_059RF_FMOVIE001_VIMS,0,16612,2008-02-17T12:25:03,0.0,359.98,8.524,9.349,8.935,42.97,47.116,44.965,121.279,124.365,122.766,81.687,92.28888888888889,1.09112,0.31713,0.59023,0.17015
ISS_059RF_FMOVIE002_VIMS,0,18000,2008-02-24T12:27:11,0.0,359.98,9.266,10.376,9.477,23.656,26.862,25.226,104.391,108.35,106.388,81.794,100.0,2.06068,0.4119,0.58057,0.12119
ISS_061RI_LPMRDFMOV001_PRIME,0,10861,2008-03-15T10:14:07,139.08,356.28,7.988,22.225,9.049,12.616,15.163,13.916,94.207,97.141,95.731,82.093,60.33888888888889,5.258,1.0668,0.51041,0.05834
ISS_068RF_FMOVIE001_VIMS,0,8301,2008-05-15T23:55:27,0.0,359.98,5.377,6.568,6.042,44.146,56.186,49.294,126.222,136.356,130.643,83.037,46.11666666666667,0.79664,0.1281,0.51823,0.08928
ISS_075RF_FMOVIE002_VIMS,0,17932,2008-07-05T01:53:35,0.0,359.98,6.013,6.885,6.475,28.938,37.32,32.89,112.495,121.122,116.617,83.807,99.62222222222222,1.14733,0.16775,0.51202,0.07861
ISS_079RF_FRINGMRLF002_PRIME,0,11291,2008-08-06T01:42:23,79.6,305.4,8.635,13.675,10.894,21.175,28.065,24.347,63.588,72.51,68.244,84.295,62.72777777777778,1.63966,0.44302,0.60497,0.17208
ISS_080RF_FMOVIE005_PRIME,0,5213,2008-08-14T06:50:39,66.74,170.98,6.609,14.91,7.207,14.243,15.013,14.542,81.263,83.724,82.548,84.419,28.96111111111111,3.55222,0.54351,0.45731,0.06285
ISS_081RI_FMOVIE106_VIMS,0,15915,2008-08-20T00:36:15,0.0,359.98,3.466,4.928,4.228,29.143,47.495,37.117,39.289,60.611,51.215,84.513,88.41666666666667,0.87717,0.2341,0.53503,0.11689
ISS_083RI_FMOVIE109_VIMS,0,15995,2008-08-30T16:19:11,31.78,351.66,6.956,7.7,7.119,20.905,26.548,23.624,103.18,110.271,106.689,84.677,88.86111111111111,1.83864,0.51702,0.51604,0.11782
ISS_085RF_FMOVIE003_PRIME_1,0,9055,2008-09-15T23:01:19,65.92,248.78,5.248,5.789,5.519,41.461,48.005,44.65,126.377,132.641,129.466,84.925,50.30555555555556,0.81212,0.20384,0.51256,0.11498
ISS_085RF_FMOVIE003_PRIME_2,0,6245,2008-09-16T06:34:07,120.46,245.34,5.287,6.073,5.641,48.221,53.0,50.582,130.326,135.655,132.95,84.928,34.69444444444444,0.77331,0.17979,0.52425,0.11176
ISS_087RF_FMOVIE003_PRIME,0,13961,2008-09-30T16:28:15,0.0,359.98,4.905,5.855,5.388,44.651,54.237,49.155,125.562,136.736,130.89,85.155,77.56111111111112,0.83552,0.17096,0.54873,0.12842
ISS_089RF_FMOVIE003_PRIME,0,14613,2008-10-14T22:37:51,0.0,359.98,5.66,6.458,6.052,38.92,46.087,42.326,117.97,127.251,122.475,85.375,81.18333333333332,1.04096,0.20357,0.55925,0.11809
ISS_091RF_FMOVIE003_PRIME,0,15376,2008-10-29T20:23:27,27.78,335.28,5.749,8.673,7.143,43.519,55.778,49.204,127.867,141.26,134.18,85.606,85.42222222222222,1.0619,0.32122,0.72859,0.19397
ISS_092RF_FMOVIE003_PRIME,0,3514,2008-11-07T03:06:39,230.4,300.66,5.826,6.169,5.957,48.894,51.155,50.107,132.839,135.374,134.18,85.728,19.522222222222222,0.79819,0.11557,0.55638,0.0819
ISS_093RF_FMOVIE003_PRIME,0,11328,2008-11-14T15:06:39,0.0,359.98,6.052,6.615,6.343,40.236,46.93,43.472,126.077,132.494,129.22,85.848,62.93333333333333,0.80854,0.10947,0.51164,0.07613
ISS_094RF_FMOVIE001_PRIME_1,0,8630,2008-11-21T21:26:55,0.0,359.98,6.23,6.567,6.408,36.091,41.009,38.492,121.865,126.966,124.38,85.959,47.94444444444444,0.80039,0.1023,0.45169,0.0592
ISS_094RF_FMOVIE001_PRIME_2,0,4610,2008-11-22T04:36:47,81.96,175.66,6.362,6.926,6.626,43.731,46.363,45.016,125.857,129.081,127.435,85.961,25.61111111111111,0.72185,0.11021,0.43863,0.06707
ISS_096RF_FMOVIE004_PRIME,0,15282,2008-12-10T18:01:03,0.0,359.98,3.797,5.276,4.507,52.913,74.093,62.569,17.417,40.63,29.944,86.254,84.89999999999999,0.60456,0.088,0.52178,0.09136
ISS_100RF_FMOVIE003_PRIME,0,13338,2009-01-11T10:41:34,6.44,273.18,5.85,6.291,6.078,36.25,47.223,41.527,122.902,133.626,128.182,86.743,74.1,0.73103,0.11076,0.44959,0.06397
ISS_103RF_FMOVIE003_PRIME,0,11471,2009-02-10T14:28:46,0.0,359.98,6.205,6.445,6.327,69.849,82.182,75.983,150.193,155.545,153.128,87.209,63.72777777777778,0.73446,0.17639,0.65451,0.15561
ISS_104RF_FMOVIE003_PRIME,0,3181,2009-02-25T00:06:54,0.0,359.98,5.011,5.11,5.039,142.832,146.622,144.782,112.185,116.398,114.288,87.426,17.672222222222224,6.06193,1.09587,2.47449,0.34727
ISS_105RF_FMOVIE002_PRIME,0,14099,2009-03-11T11:51:58,0.0,359.98,5.323,5.658,5.487,98.879,112.068,105.575,23.153,25.639,23.899,87.657,78.32777777777777,0.89083,0.22124,0.81462,0.20337
ISS_105RF_FMOVIE003_PRIME,0,5474,2009-03-04T08:46:54,0.0,359.98,7.078,7.235,7.095,33.541,35.013,34.259,110.73,114.441,112.583,87.541,30.41111111111111,1.28015,0.17333,0.49314,0.08154
ISS_106RF_FMOVIE002_PRIME,0,13552,2009-03-23T11:07:10,0.0,359.98,5.312,5.638,5.472,99.884,112.456,106.237,23.128,25.736,23.85,87.842,75.28888888888889,0.89376,0.30363,0.81686,0.27531
ISS_107RF_FMOVIE002_PRIME,0,7463,2009-03-29T16:51:42,188.48,337.72,7.083,7.131,7.096,54.925,61.22,58.11,139.907,144.157,142.101,87.934,41.46111111111111,0.73647,0.28209,0.57876,0.21285
ISS_108RF_FMOVIE001_PRIME,0,11667,2009-04-16T10:34:06,0.0,359.98,7.814,7.859,7.825,100.748,107.744,104.254,142.255,147.304,144.946,88.21,64.81666666666666,1.14109,0.75191,0.92817,0.59658
ISS_110RF_FMOVIE002_PRIME,0,12616,2009-05-10T09:03:58,49.94,302.24,5.532,5.761,5.639,52.806,66.26,59.308,56.303,70.077,63.253,88.58,70.08888888888889,1.23829,0.30191,0.54843,0.12044
ISS_111RF_FMOVIE002_PRIME,0,9666,2009-05-26T09:08:14,0.0,359.98,5.278,21.155,5.905,34.336,38.283,36.065,92.949,103.212,98.019,88.825,53.7,4.72276,2.53208,0.53022,0.09033
ISS_112RF_FMOVIE002_PRIME_1,0,9096,2009-06-10T11:51:26,0.0,359.98,4.215,5.529,4.618,17.108,21.661,18.808,97.808,109.738,104.166,89.058,50.53333333333333,2.09732,0.53519,0.48342,0.07196
ISS_112RF_FMOVIE002_PRIME_2,0,6533,2009-06-10T19:18:22,0.0,359.98,5.198,5.943,5.297,33.752,34.879,34.217,109.649,117.236,113.525,89.061,36.294444444444444,1.34046,0.12446,0.53568,0.07753
ISS_114RF_FMOVIEEQX001_PRIME,0,15013,2009-07-13T20:02:06,0.0,359.98,8.778,9.725,9.204,88.168,92.177,90.25,130.722,132.91,131.886,89.574,83.40555555555555,1.0801,0.22617,0.72014,0.1466
ISS_115RF_FMOVIEEQX001_PRIME,0,15721,2009-07-30T01:05:34,0.0,359.98,9.999,11.025,10.386,98.879,101.838,100.416,117.346,119.101,118.237,89.824,87.33888888888889,1.55681,0.286,0.73627,0.13392
ISS_132RI_FMOVIE001_VIMS,0,15237,2010-05-31T23:02:54,32.54,347.08,7.372,10.859,8.129,119.849,125.547,122.49,79.423,80.122,79.836,85.538,84.65,5.85982,0.70677,1.03377,0.1243
ISS_168RF_FMOVIE001_PRIME,0,10745,2012-06-25T03:03:58,0.0,359.98,10.752,14.08,11.405,108.712,111.52,110.102,110.622,111.005,110.772,75.174,59.69444444444445,2.75169,0.84772,0.97574,0.30026
ISS_172RF_FMOVIE001_PRIME,0,15386,2012-09-20T17:37:33,0.0,359.98,10.02,10.918,10.462,110.869,115.317,113.062,121.627,122.193,121.919,74.117,85.47777777777777,1.91282,0.54491,1.0115,0.28873
ISS_172RI_EGAPMOVMP002_PRIME,0,18000,2012-10-01T13:11:25,0.0,359.98,14.313,14.93,14.578,71.728,74.516,73.129,114.739,116.295,115.532,73.988,100.0,1.6086,0.47342,0.69302,0.20232
ISS_173RF_FMOVIE001_PRIME_1,0,11456,2012-10-15T19:43:57,3.62,232.72,7.717,9.039,8.032,137.364,142.122,139.499,123.756,124.323,124.078,73.827,63.644444444444446,3.73083,0.68721,2.09062,0.38591
ISS_173RF_FMOVIE001_PRIME_2,0,11431,2012-10-16T03:46:37,3.46,232.06,7.214,9.851,7.873,153.296,160.866,157.206,118.24,123.414,120.861,73.821,63.50555555555556,10.17233,1.95962,5.18219,0.84419
ISS_174RF_FRSTRCHAN001_PRIME_1,0,8993,2012-11-08T21:59:57,0.0,359.98,7.419,7.946,7.661,150.423,156.162,153.246,121.053,123.746,122.499,73.545,49.96111111111111,7.83782,1.46936,4.20559,0.76658
ISS_174RF_FRSTRCHAN001_PRIME_2,0,8989,2012-11-09T05:18:21,0.0,359.98,6.443,7.286,6.801,143.816,149.517,146.562,119.127,121.815,120.558,73.543,49.93888888888889,5.84776,1.21234,2.96815,0.59822
ISS_176RF_FMOVIE001_PRIME,0,15929,2012-12-06T18:33:01,0.0,359.98,8.231,9.427,8.842,103.367,111.681,107.341,146.126,148.364,147.337,73.222,88.49444444444444,1.10933,0.36406,0.93416,0.30763
ISS_177RF_FMOVIE001_PRIME_1,0,7288,2012-12-18T20:33:33,0.0,359.98,9.538,9.73,9.631,93.818,96.503,95.162,135.559,136.707,136.141,73.087,40.488888888888894,1.13518,0.30582,0.81851,0.22122
ISS_177RF_FMOVIE001_PRIME_2,0,7252,2012-12-19T02:29:49,0.0,359.98,9.728,10.032,9.881,89.212,92.207,90.664,139.676,141.383,140.509,73.086,40.28888888888889,0.97117,0.27674,0.74946,0.21452
ISS_177RF_FRSTRCHAN001_PRIME_1,0,8721,2012-12-25T02:34:37,0.0,359.98,5.797,10.796,6.219,16.341,21.4,19.004,75.784,81.641,78.874,73.016,48.449999999999996,3.06494,0.74721,0.58268,0.1447
ISS_177RF_FRSTRCHAN001_PRIME_2,0,5716,2012-12-25T09:20:29,0.0,359.98,6.336,16.68,7.149,9.765,13.516,11.749,81.488,84.342,82.991,73.015,31.755555555555553,5.14221,1.33925,0.61988,0.15545
ISS_178RI_EGAPMOVMP001_PRIME,0,3271,2012-12-30T13:19:57,72.62,335.66,10.048,10.187,10.122,70.925,74.854,72.833,127.556,130.2,128.843,72.954,18.172222222222224,1.01274,0.26552,0.63534,0.16813
ISS_179RF_FMOVIE001_PRIME,0,18000,2013-01-13T18:33:33,0.0,359.98,9.499,10.251,9.851,87.333,93.616,90.429,133.786,136.861,135.339,72.79,100.0,1.07977,0.26355,0.76746,0.18528
ISS_179RF_FRINGPHOT001_VIMS,0,4351,2013-01-17T23:20:29,75.88,166.84,3.71,4.117,3.917,151.913,160.866,156.232,116.81,123.911,120.546,72.75,24.172222222222224,10.88113,2.52489,5.48447,1.10747
ISS_180RF_FMOVIE001_PRIME,0,15103,2013-01-27T17:43:25,0.0,359.98,10.651,11.657,11.165,90.557,96.799,93.615,139.958,142.8,141.394,72.636,83.90555555555555,0.97123,0.22803,0.75899,0.1784
ISS_180RF_HIRESFRNG001_PRIME,0,4237,2013-02-01T15:06:37,233.08,321.66,2.833,3.179,3.001,50.885,66.657,58.373,22.257,28.132,24.699,72.585,23.53888888888889,0.65237,0.10722,0.59215,0.09577
ISS_181RF_FMOVIE001_PRIME,0,18000,2013-02-09T18:25:33,0.0,359.98,9.219,10.14,9.656,90.826,97.561,94.149,136.21,139.135,137.705,72.488,100.0,1.05026,0.30169,0.77718,0.22579
ISS_181RF_FRINGPHOT001_VIMS,0,5938,2013-02-13T14:14:21,36.58,155.32,3.563,4.09,3.817,151.958,163.777,157.679,113.798,123.574,118.975,72.453,32.98888888888889,11.50621,3.31843,5.45866,1.25996
ISS_181RF_FRINGPHOT002_VIMS,0,3231,2013-02-14T00:09:01,78.78,143.38,2.957,6.545,3.23,146.942,156.393,151.417,93.431,101.837,97.385,72.449,17.95,29.19286,6.23585,3.51774,0.96633
ISS_183RF_FMOVIE001_PRIME_1,0,7356,2013-03-04T22:20:13,172.62,319.72,9.028,9.496,9.158,68.725,71.654,70.2,128.763,131.206,130.056,72.24,40.86666666666667,0.88225,0.1819,0.56779,0.11767
ISS_183RF_FMOVIE001_PRIME_2,0,7267,2013-03-05T04:20:13,172.6,317.92,11.674,12.089,11.859,77.64,80.546,79.101,129.202,130.996,130.112,72.236,40.37222222222222,0.9238,0.1958,0.59514,0.12609
ISS_184RF_FMOVIE001_PRIME,0,7122,2013-03-18T20:15:25,0.0,359.98,7.441,7.692,7.571,104.282,108.376,106.307,144.819,145.868,145.369,72.085,39.56666666666667,1.0322,0.29401,0.84926,0.24136
ISS_184RF_FMOVIE002_PRIME,0,13837,2013-03-27T13:23:41,0.0,359.98,9.69,10.296,9.892,55.682,61.36,58.465,119.286,123.872,121.54,71.99,76.87222222222222,1.16974,0.36089,0.6098,0.1806
ISS_189RF_FMOVIE001_PRIME,0,17766,2013-05-06T12:10:05,0.0,359.98,9.494,12.683,10.762,52.637,60.738,56.657,113.707,120.488,117.08,71.558,98.7,1.6158,0.72816,0.72957,0.31762
ISS_191RF_FMOVIE002_PRIME,0,17248,2013-05-27T09:05:33,0.0,359.98,7.902,8.715,8.257,84.38,94.035,89.12,138.101,143.557,140.893,71.338,95.82222222222222,1.1098,0.47492,0.86105,0.36993
ISS_193RF_FMOVIE001_PRIME_1,0,9787,2013-06-19T22:58:37,118.08,313.8,8.217,8.687,8.374,69.543,74.556,72.053,131.531,135.624,133.636,71.098,54.37222222222222,0.95522,0.28933,0.65867,0.20004
ISS_193RF_FMOVIE001_PRIME_2,0,9755,2013-06-20T06:57:01,118.4,313.48,8.028,8.135,8.084,83.548,88.744,86.156,136.197,139.242,137.756,71.091,54.19444444444444,1.0484,0.32815,0.77583,0.24344
ISS_194RF_FMOVIE001_PRIME_1,0,9732,2013-07-02T02:38:53,118.04,312.66,8.711,9.462,9.054,81.46,86.827,84.136,137.385,140.814,139.106,70.969,54.06666666666666,1.06764,0.34968,0.80637,0.26345
ISS_194RF_FMOVIE001_PRIME_2,0,9749,2013-07-02T10:36:45,117.68,312.64,10.672,11.924,11.257,76.933,81.781,79.324,133.895,137.181,135.55,70.969,54.16111111111112,0.9873,0.30857,0.70423,0.22016
ISS_196RF_FMOVIE003_PRIME,0,18000,2013-08-20T21:55:41,0.0,359.98,9.057,10.368,9.519,58.616,69.637,64.251,116.863,124.69,120.923,70.461,100.0,1.47919,0.60322,0.75529,0.31242
ISS_196RF_FMOVIE004_PRIME,0,18000,2013-08-24T10:02:37,0.0,359.98,10.875,11.367,11.094,108.601,115.057,111.849,143.2,143.514,143.382,70.426,100.0,1.384,0.57556,1.11081,0.462
ISS_196RF_FMOVIE005_PRIME,0,18000,2013-08-26T09:47:41,0.0,359.98,12.434,13.418,12.902,128.114,133.586,130.855,138.372,140.73,139.579,70.406,100.0,2.35237,1.05079,1.78676,0.78363
ISS_196RF_FMOVIE006_PRIME,0,17649,2013-08-28T09:38:05,0.0,359.98,13.973,16.007,14.734,145.295,150.187,147.762,129.416,132.788,131.147,70.387,98.05,5.71713,1.98559,3.75179,1.27046
ISS_197RF_FMOVIE002_PRIME,0,10731,2013-09-15T08:06:53,27.42,290.28,9.627,9.953,9.82,90.376,99.116,96.27,136.708,139.782,138.86,70.209,59.61666666666666,1.20628,0.58737,0.90844,0.44391
ISS_197RF_FMOVIE007_PRIME,0,13804,2013-09-07T08:26:05,0.0,359.98,9.182,11.623,10.219,104.985,113.717,109.475,48.234,54.427,51.341,70.289,76.68888888888888,1.92994,0.77966,1.20194,0.49344
ISS_198RF_FMOVIE001_PRIME_1,0,9827,2013-10-18T16:59:09,0.0,359.98,11.255,12.277,11.65,118.366,122.029,120.25,138.03,139.081,138.65,69.886,54.59444444444445,1.54917,0.36393,1.1625,0.27141
ISS_198RF_FMOVIE001_PRIME_2,0,9852,2013-10-19T00:57:01,0.0,359.98,11.435,11.804,11.621,113.756,117.452,115.59,138.56,139.099,138.846,69.887,54.733333333333334,1.32293,0.3445,0.99595,0.25889
ISS_199RI_EGAPMOVMP001_PRIME,0,8293,2013-11-25T04:05:17,0.72,359.08,13.23,13.684,13.457,76.389,80.077,78.313,41.975,42.691,42.323,69.532,46.07222222222222,0.95176,0.30439,0.70373,0.22537
ISS_201RF_FMOVIE001_PRIME_1,0,9240,2014-01-29T23:03:57,174.82,359.6,11.124,11.472,11.271,39.996,43.435,41.698,45.704,47.835,46.696,68.927,51.33333333333333,0.89737,0.28164,0.61477,0.19042
ISS_201RF_FMOVIE001_PRIME_2,0,9255,2014-01-30T06:30:53,174.54,359.62,10.563,10.984,10.732,45.185,48.58,46.913,47.011,48.951,47.917,68.921,51.416666666666664,0.95098,0.29432,0.63669,0.19462
ISS_201RF_FMOVIE001_VIMS,0,16332,2014-02-05T17:27:57,0.0,359.98,6.189,6.793,6.463,125.848,142.903,134.71,130.811,137.752,134.657,68.86,90.73333333333333,2.60269,0.78669,1.81309,0.49362
ISS_202RF_FMOVIE001_PRIME_1,0,8082,2014-03-01T22:16:29,192.14,353.76,12.655,13.213,12.854,43.326,45.635,44.465,46.397,47.752,47.13,68.651,44.9,0.83589,0.20965,0.56851,0.14216
ISS_202RF_FMOVIE001_PRIME_2,0,7983,2014-03-02T04:46:53,192.62,352.26,12.381,12.658,12.524,48.633,50.685,49.653,47.752,48.766,48.258,68.646,44.35,0.91607,0.21052,0.60977,0.13973
ISS_203RF_FMOVIE001_PRIME_1,0,10424,2014-04-13T09:58:53,0.0,359.98,10.141,12.41,10.51,136.293,140.028,138.183,71.942,74.655,73.308,68.28,57.91111111111111,7.01539,1.62746,2.00483,0.4251
ISS_203RF_FMOVIE001_PRIME_2,0,10373,2014-04-13T17:56:45,0.0,359.98,10.689,12.747,11.027,128.856,131.971,130.363,70.154,72.202,71.145,68.279,57.62777777777778,4.659,1.07843,1.50057,0.32648
ISS_205RF_FMOVIE001_PRIME,0,16327,2014-06-22T08:27:09,0.0,359.98,13.225,14.067,13.403,105.362,109.43,107.395,52.828,55.049,53.922,67.7,90.70555555555555,1.53838,0.47821,0.90492,0.27863
ISS_207RF_FMOVIE001_PRIME,0,15526,2014-08-16T11:01:17,0.0,359.98,7.982,12.837,9.711,46.626,57.76,51.974,109.508,117.211,113.272,67.262,86.25555555555555,1.68959,0.57949,0.66477,0.22776
ISS_208RF_FMOVIE001_PRIME_1,0,6323,2014-09-20T13:16:13,0.0,359.98,6.55,7.652,7.067,131.766,142.565,137.267,126.573,132.691,129.71,67.002,35.12777777777778,3.08807,0.84439,1.95589,0.47777
ISS_208RF_FMOVIE001_PRIME_2,0,3234,2014-09-20T18:29:17,0.0,359.98,8.572,8.9,8.687,134.256,137.962,136.097,116.48,118.709,117.621,67.0,17.96666666666667,3.80746,0.72071,1.76095,0.31205
ISS_208RF_FMOVIE002_PRIME_1,0,9237,2014-09-26T08:25:33,98.6,283.32,13.797,14.638,13.991,117.243,118.898,118.056,61.891,62.863,62.369,66.958,51.31666666666666,2.76664,0.99668,1.28219,0.45806
ISS_208RF_FMOVIE002_PRIME_2,0,8856,2014-09-26T15:33:49,106.12,283.22,14.143,14.914,14.323,119.607,121.426,120.542,60.916,62.149,61.55,66.953,49.2,3.00373,1.05148,1.43006,0.49701
ISS_209RF_FMOVIE001_PRIME_1,0,8221,2014-10-27T01:33:17,51.92,216.32,13.132,15.311,13.454,132.592,134.346,133.499,70.939,72.118,71.542,66.732,45.67222222222222,6.22442,1.27668,1.96974,0.40046
ISS_209RF_FMOVIE001_PRIME_2,0,7788,2014-10-27T07:45:01,96.58,252.32,13.562,17.381,13.919,127.736,129.046,128.372,70.394,71.136,70.761,66.732,43.266666666666666,4.9149,1.23712,1.61924,0.40783
ISS_211RF_FMOVIE001_PRIME,0,18000,2015-01-03T18:11:09,0.0,359.98,13.463,14.351,13.896,79.82,82.621,81.286,61.425,61.79,61.61,66.249,100.0,1.52874,0.38394,0.7269,0.1828
ISS_211RF_HIRESFRNG001_PRIME,0,3936,2015-01-10T03:44:29,163.78,243.24,4.56,5.77,5.116,113.776,124.844,119.537,120.339,125.13,122.816,66.213,21.866666666666667,2.05042,0.45477,1.10736,0.23787
ISS_211RI_EGAPMOVMP001_PRIME,0,17996,2015-01-02T23:46:37,0.0,359.98,14.505,15.637,15.037,83.031,85.643,84.41,61.174,61.642,61.429,66.254,99.97777777777777,1.53858,0.38914,0.73586,0.18633
ISS_212RF_FMOVIE001_PRIME_1,0,8084,2015-02-07T00:23:57,168.82,330.48,10.735,15.123,11.46,75.77,77.893,76.867,70.606,71.122,70.977,66.03,44.91111111111111,1.90597,0.44775,0.62127,0.14594
ISS_212RF_FMOVIE001_PRIME_2,0,8053,2015-02-07T06:36:45,173.78,334.82,10.055,11.876,10.376,82.149,84.196,83.234,71.038,71.379,71.271,66.024,44.73888888888889,2.12742,0.5023,0.68312,0.16144
ISS_213RF_FMOVIE001_PRIME,0,18000,2015-03-09T20:46:21,0.0,359.98,12.139,17.85,13.064,99.487,102.313,100.929,81.421,81.573,81.507,65.827,100.0,4.97497,0.86863,0.73472,0.12831
ISS_213RF_FMOVIE002_PRIME,0,16870,2015-03-10T22:27:09,0.0,359.98,10.249,23.54,11.696,93.58,97.145,95.521,81.329,81.658,81.536,65.821,93.72222222222221,4.72689,0.87579,0.6957,0.12866
