Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std
ISS_094RF_FMOVIE001_PRIME_1,0,8630,2008-11-21T21:26:55,0.0,359.98,6.23,6.567,6.408,36.091,41.009,38.492,121.865,126.966,124.38,85.959,47.94444444444444,0.80038,0.10231,0.45169,0.0592,0.2061,0.01688,0.11636,0.01055,0.44464,0.09572,0.25105,0.05518,0.14965,0.01662,0.08427,0.00788
ISS_094RF_FMOVIE001_PRIME_2,0,4610,2008-11-22T04:36:47,81.96,175.66,6.362,6.926,6.626,43.731,46.363,45.016,125.857,129.081,127.435,85.961,25.61111111111111,0.72184,0.11021,0.43862,0.06707,0.25332,0.03311,0.15404,0.02088,0.32884,0.11029,0.19984,0.06717,0.13968,0.0199,0.08474,0.01106
ISS_096RF_FMOVIE004_PRIME,0,15282,2008-12-10T18:01:03,0.0,359.98,3.797,5.276,4.507,52.913,74.093,62.569,17.417,40.63,29.944,86.254,84.89999999999999,0.60455,0.08801,0.52178,0.09137,0.15963,0.02018,0.13717,0.01748,0.35702,0.08269,0.309,0.08026,0.0879,0.00775,0.07561,0.00785
ISS_100RF_FMOVIE003_PRIME,0,13338,2009-01-11T10:41:34,6.44,273.18,5.85,6.291,6.078,36.25,47.223,41.527,122.902,133.626,128.182,86.743,74.1,0.73102,0.11076,0.44959,0.06397,0.25296,0.03741,0.1562,0.02575,0.37207,0.09797,0.22816,0.05608,0.106,0.01096,0.06523,0.00652
ISS_103RF_FMOVIE003_PRIME,0,11471,2009-02-10T14:28:46,0.0,359.98,6.205,6.445,6.327,69.849,82.182,75.983,150.193,155.545,153.128,87.209,63.72777777777778,0.73445,0.17639,0.6545,0.15561,0.21033,0.0402,0.18745,0.03544,0.4197,0.16842,0.37392,0.14926,0.10443,0.00574,0.09312,0.0054
ISS_104RF_FMOVIE003_PRIME,0,3181,2009-02-25T00:06:54,0.0,359.98,5.011,5.11,5.039,142.832,146.622,144.782,112.185,116.398,114.288,87.426,17.672222222222224,6.06193,1.09585,2.47449,0.34727,2.01409,0.28459,0.82371,0.08713,3.13378,0.84135,1.27586,0.29589,0.91406,0.05485,0.37493,0.00921
ISS_105RF_FMOVIE002_PRIME,0,14099,2009-03-11T11:51:58,0.0,359.98,5.323,5.658,5.487,98.879,112.068,105.575,23.153,25.639,23.899,87.657,78.32777777777777,0.89085,0.22124,0.81463,0.20337,0.2685,0.04475,0.24542,0.04059,0.47479,0.21248,0.43433,0.19502,0.14755,0.01781,0.13488,0.01615
ISS_105RF_FMOVIE003_PRIME,0,5474,2009-03-04T08:46:54,0.0,359.98,7.078,7.235,7.095,33.541,35.013,34.259,110.73,114.441,112.583,87.541,30.41111111111111,1.28013,0.17333,0.49313,0.08154,0.41897,0.0428,0.16066,0.01603,0.68094,0.18373,0.26335,0.07931,0.18023,0.01188,0.06911,0.00431
ISS_106RF_FMOVIE002_PRIME,0,13552,2009-03-23T11:07:10,0.0,359.98,5.312,5.638,5.472,99.884,112.456,106.237,23.128,25.736,23.85,87.842,75.28888888888889,0.89377,0.30363,0.81686,0.27532,0.24166,0.03851,0.22097,0.035,0.50824,0.2722,0.46439,0.24752,0.14387,0.03427,0.1315,0.03091
ISS_107RF_FMOVIE002_PRIME,0,7463,2009-03-29T16:51:42,188.48,337.72,7.083,7.131,7.096,54.925,61.22,58.11,139.907,144.157,142.101,87.934,41.46111111111111,0.73649,0.2821,0.57878,0.21286,0.14922,0.02074,0.11769,0.01614,0.46941,0.25088,0.36841,0.19093,0.11786,0.0324,0.09268,0.02406
ISS_108RF_FMOVIE001_PRIME,0,11667,2009-04-16T10:34:06,0.0,359.98,7.814,7.859,7.825,100.748,107.744,104.254,142.255,147.304,144.946,88.21,64.81666666666666,1.14115,0.75191,0.92822,0.59658,0.2304,0.08543,0.18809,0.06751,0.73022,0.65832,0.59287,0.5247,0.18053,0.07975,0.14725,0.0629
ISS_110RF_FMOVIE002_PRIME,0,12616,2009-05-10T09:03:58,49.94,302.24,5.532,5.761,5.639,52.806,66.26,59.308,56.303,70.077,63.253,88.58,70.08888888888889,1.23832,0.30192,0.54844,0.12044,0.25586,0.0521,0.1118,0.00825,0.78208,0.27158,0.34827,0.11781,0.20039,0.03392,0.08838,0.01036
ISS_111RF_FMOVIE002_PRIME,0,9666,2009-05-26T09:08:14,0.0,359.98,5.278,21.155,5.905,34.336,38.283,36.065,92.949,103.212,98.019,88.825,53.7,4.72272,2.53212,0.53021,0.09033,0.92097,0.47133,0.10516,0.00686,2.92778,1.6319,0.32849,0.07322,0.87397,0.48768,0.09656,0.02099
ISS_112RF_FMOVIE002_PRIME_1,0,9096,2009-06-10T11:51:26,0.0,359.98,4.215,5.529,4.618,17.108,21.661,18.808,97.808,109.738,104.166,89.058,50.53333333333333,2.09727,0.53521,0.48341,0.07197,0.73636,0.28667,0.16411,0.02659,1.03731,0.2581,0.24507,0.06792,0.32361,0.08481,0.07422,0.00828
ISS_112RF_FMOVIE002_PRIME_2,0,6533,2009-06-10T19:18:22,0.0,359.98,5.198,5.943,5.297,33.752,34.879,34.217,109.649,117.236,113.525,89.061,36.294444444444444,1.34047,0.12446,0.53568,0.07753,0.27035,0.04004,0.10661,0.00922,0.84749,0.12926,0.33972,0.06957,0.22263,0.02277,0.08934,0.01618
ISS_114RF_FMOVIEEQX001_PRIME,0,15013,2009-07-13T20:02:06,0.0,359.98,8.778,9.725,9.204,88.168,92.177,90.25,130.722,132.91,131.886,89.574,83.40555555555555,1.08007,0.22617,0.72013,0.1466,0.27865,0.04822,0.18608,0.03251,0.64346,0.22386,0.42875,0.14709,0.15797,0.02939,0.1053,0.01856
ISS_115RF_FMOVIEEQX001_PRIME,0,15721,2009-07-30T01:05:34,0.0,359.98,9.999,11.025,10.386,98.879,101.838,100.416,117.346,119.101,118.237,89.824,87.33888888888889,1.55679,0.28601,0.73627,0.13392,0.42487,0.06519,0.20112,0.03171,0.874,0.28866,0.41327,0.13579,0.25793,0.04651,0.12187,0.02106
ISS_132RI_FMOVIE001_VIMS,0,15237,2010-05-31T23:02:54,32.54,347.08,7.372,10.859,8.129,119.849,125.547,122.49,79.423,80.122,79.836,85.538,84.65,5.85984,0.70678,1.03377,0.1243,1.84156,0.16289,0.32505,0.03013,3.17469,0.71165,0.55966,0.12397,0.84359,0.10016,0.14906,0.01957
ISS_168RF_FMOVIE001_PRIME,0,10745,2012-06-25T03:03:58,0.0,359.98,10.752,14.08,11.405,108.712,111.52,110.102,110.622,111.005,110.772,75.174,59.69444444444445,2.75164,0.84773,0.97573,0.30026,0.68875,0.03446,0.24426,0.01202,1.84871,0.80081,0.65554,0.28387,0.21418,0.03818,0.07593,0.01335
ISS_172RF_FMOVIE001_PRIME,0,15386,2012-09-20T17:37:33,0.0,359.98,10.02,10.918,10.462,110.869,115.317,113.062,121.627,122.193,121.919,74.117,85.47777777777777,1.91279,0.54492,1.01148,0.28874,0.27454,0.02202,0.14516,0.01178,1.43914,0.51781,0.761,0.27415,0.19911,0.04586,0.10532,0.02449
ISS_172RI_EGAPMOVMP002_PRIME,0,18000,2012-10-01T13:11:25,0.0,359.98,14.313,14.93,14.578,71.728,74.516,73.129,114.739,116.295,115.532,73.988,100.0,1.60855,0.47342,0.693,0.20233,0.31194,0.01962,0.13442,0.00824,1.14642,0.44107,0.49393,0.18891,0.15019,0.04522,0.06465,0.0191
ISS_173RF_FMOVIE001_PRIME_1,0,11456,2012-10-15T19:43:57,3.62,232.72,7.717,9.039,8.032,137.364,142.122,139.499,123.756,124.323,124.078,73.827,63.644444444444446,3.73076,0.68721,2.09058,0.38591,1.18031,0.09496,0.66141,0.05394,2.31491,0.62858,1.29718,0.35251,0.23555,0.02775,0.132,0.01568
ISS_173RF_FMOVIE001_PRIME_2,0,11431,2012-10-16T03:46:37,3.46,232.06,7.214,9.851,7.873,153.296,160.866,157.206,118.24,123.414,120.861,73.821,63.50555555555556,10.17224,1.95961,5.18215,0.84419,2.53826,0.46726,1.29158,0.18685,6.53343,1.37287,3.33272,0.63584,1.10056,0.31413,0.55785,0.1362
ISS_174RF_FRSTRCHAN001_PRIME_1,0,8993,2012-11-08T21:59:57,0.0,359.98,7.419,7.946,7.661,150.423,156.162,153.246,121.053,123.746,122.499,73.545,49.96111111111111,7.83764,1.46937,4.2055,0.76659,2.40408,0.26969,1.28883,0.12062,4.80089,1.37885,2.57832,0.73894,0.63267,0.18108,0.33836,0.09151
ISS_174RF_FRSTRCHAN001_PRIME_2,0,8989,2012-11-09T05:18:21,0.0,359.98,6.443,7.286,6.801,143.816,149.517,146.562,119.127,121.815,120.558,73.543,49.93888888888889,5.8477,1.21235,2.96812,0.59823,1.66772,0.19616,0.84561,0.08051,3.65657,1.13088,1.85791,0.57271,0.52342,0.14359,0.2646,0.06744
ISS_176RF_FMOVIE001_PRIME,0,15929,2012-12-06T18:33:01,0.0,359.98,8.231,9.427,8.842,103.367,111.681,107.341,146.126,148.364,147.337,73.222,88.49444444444444,1.10933,0.36406,0.93416,0.30763,0.27894,0.01886,0.23488,0.01697,0.77616,0.35344,0.65363,0.29822,0.05423,0.01323,0.04565,0.01111
ISS_177RF_FMOVIE001_PRIME_1,0,7288,2012-12-18T20:33:33,0.0,359.98,9.538,9.73,9.631,93.818,96.503,95.162,135.559,136.707,136.141,73.087,40.488888888888894,1.13514,0.30583,0.81849,0.22122,0.17053,0.01118,0.12296,0.00809,0.87974,0.29638,0.63433,0.21436,0.08487,0.0165,0.0612,0.01197
ISS_177RF_FMOVIE001_PRIME_2,0,7252,2012-12-19T02:29:49,0.0,359.98,9.728,10.032,9.881,89.212,92.207,90.664,139.676,141.383,140.509,73.086,40.28888888888889,0.97113,0.27674,0.74943,0.21452,0.24143,0.01693,0.18631,0.01318,0.70167,0.26788,0.54148,0.2076,0.02803,0.01279,0.02164,0.00991
ISS_177RF_FRSTRCHAN001_PRIME_1,0,8721,2012-12-25T02:34:37,0.0,359.98,5.797,10.796,6.219,16.341,21.4,19.004,75.784,81.641,78.874,73.016,48.449999999999996,3.06473,0.74724,0.58264,0.1447,0.37577,0.09469,0.06997,0.00933,2.42128,0.6845,0.46339,0.14492,0.26768,0.09542,0.04928,0.01268
ISS_177RF_FRSTRCHAN001_PRIME_2,0,5716,2012-12-25T09:20:29,0.0,359.98,6.336,16.68,7.149,9.765,13.516,11.749,81.488,84.342,82.991,73.015,31.755555555555553,5.14218,1.33924,0.61988,0.15545,1.39063,0.24601,0.16678,0.0192,3.49112,1.2073,0.42183,0.14713,0.26043,0.05265,0.03127,0.00486
ISS_178RI_EGAPMOVMP001_PRIME,0,3271,2012-12-30T13:19:57,72.62,335.66,10.048,10.187,10.122,70.925,74.854,72.833,127.556,130.2,128.843,72.954,18.172222222222224,1.01274,0.26552,0.63534,0.16813,0.26544,0.01798,0.16647,0.01164,0.70872,0.25644,0.4447,0.16207,0.03857,0.00599,0.02417,0.00364
ISS_179RF_FMOVIE001_PRIME,0,18000,2013-01-13T18:33:33,0.0,359.98,9.499,10.251,9.851,87.333,93.616,90.429,133.786,136.861,135.339,72.79,100.0,1.07975,0.26355,0.76744,0.18529,0.13562,0.01078,0.09647,0.00793,0.84171,0.2586,0.59811,0.18192,0.10241,0.01443,0.07287,0.01059
ISS_179RF_FRINGPHOT001_VIMS,0,4351,2013-01-17T23:20:29,75.88,166.84,3.71,4.117,3.917,151.913,160.866,156.232,116.81,123.911,120.546,72.75,24.172222222222224,10.8811,2.52486,5.48445,1.10746,3.24293,0.72178,1.62498,0.26024,7.12314,2.09811,3.60125,1.01354,0.51503,0.20824,0.25821,0.0939
ISS_180RF_FMOVIE001_PRIME,0,15103,2013-01-27T17:43:25,0.0,359.98,10.651,11.657,11.165,90.557,96.799,93.615,139.958,142.8,141.394,72.636,83.90555555555555,0.97122,0.22804,0.75898,0.1784,0.19676,0.01392,0.15373,0.01087,0.70418,0.22181,0.55031,0.17338,0.07028,0.01322,0.05493,0.01043
ISS_180RF_HIRESFRNG001_PRIME,0,4237,2013-02-01T15:06:37,233.08,321.66,2.833,3.179,3.001,50.885,66.657,58.373,22.257,28.132,24.699,72.585,23.53888888888889,0.65237,0.10721,0.59215,0.09577,0.1626,0.00508,0.14768,0.00566,0.45115,0.10466,0.40944,0.0938,0.03862,0.00448,0.03503,0.00376
ISS_181RF_FMOVIE001_PRIME,0,18000,2013-02-09T18:25:33,0.0,359.98,9.219,10.14,9.656,90.826,97.561,94.149,136.21,139.135,137.705,72.488,100.0,1.05023,0.3017,0.77716,0.2258,0.18576,0.01128,0.13741,0.00881,0.76338,0.29263,0.56497,0.21855,0.10109,0.01959,0.07478,0.01469
ISS_181RF_FRINGPHOT001_VIMS,0,5938,2013-02-13T14:14:21,36.58,155.32,3.563,4.09,3.817,151.958,163.777,157.679,113.798,123.574,118.975,72.453,32.98888888888889,11.50597,3.3184,5.45854,1.25996,3.94623,1.17924,1.85827,0.38534,6.96823,2.42372,3.32059,1.05408,0.59151,0.15793,0.27968,0.05222
