Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
VIMS_2008_191_RLEO_I,2008-07-09T04:09:22,2008-07-09T04:10:43,2008-07-09T04:10:02,75,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,66.729,67.184,66.955,255.841,255.932,255.886,9.55,0.0003,1.0615,229.481,0.028,2.256,2.814,7.95,ISS_075RF_FMOVIE002_VIMS,3.78,ISS_079RF_FRINGMRLF002_PRIME,28.09
VIMS_2008_191_RLEO_E,2008-07-09T06:58:15,2008-07-09T06:59:36,2008-07-09T06:58:56,75,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,150.613,151.071,150.843,271.47,271.56,271.516,9.55,0.0003,1.0552,229.481,0.069,7.18,7.505,12.455,ISS_075RF_FMOVIE002_VIMS,3.9,ISS_079RF_FRINGMRLF002_PRIME,27.97
VIMS_2008_205_RLEO_I,2008-07-23T06:21:12,2008-07-23T06:22:38,2008-07-23T06:21:55,77,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,69.152,69.648,69.399,337.496,337.577,337.536,9.55,0.0002,1.1153,226.839,0.039,3.686,4.107,9.528,ISS_075RF_FMOVIE002_VIMS,17.88,ISS_081RI_FMOVIE106_VIMS,28.04
VIMS_2008_205_RLEO_E,2008-07-23T09:02:31,2008-07-23T09:03:57,2008-07-23T09:03:14,77,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,148.021,148.522,148.272,351.172,351.25,351.212,9.55,0.0002,1.1046,226.839,0.029,2.699,3.043,7.843,ISS_075RF_FMOVIE002_VIMS,17.99,ISS_081RI_FMOVIE106_VIMS,27.93
VIMS_2008_210_ETACAR_E,2008-07-28T03:29:03,2008-07-28T03:32:46,2008-07-28T03:30:54,78,N/A,ETACAR,EGRESS,2866.0,2977.0,FAIR,337.504,337.955,337.73,284.634,285.684,285.159,-62.47,0.0484,2.6021,225.244,0.06,6.735,6.948,6.751,ISS_075RF_FMOVIE002_VIMS,22.76,ISS_079RF_FRINGMRLF002_PRIME,9.12
VIMS_2008_216_GAMCRU_I,2008-08-03T11:54:31,2008-08-03T11:57:02,2008-08-03T11:55:46,79,N/A,GAMCRU,INGRESS,2866.0,2977.0,FAIR,185.179,185.238,185.209,36.278,37.355,36.817,-62.35,0.0063,4.3901,223.661,0.023,2.162,2.341,7.968,ISS_075RF_FMOVIE002_VIMS,29.11,ISS_081RI_FMOVIE106_VIMS,16.81
VIMS_2008_226_RSCNC_I,2008-08-13T01:12:09,2008-08-13T01:14:21,2008-08-13T01:13:15,80,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,49.226,49.5,49.362,100.69,101.306,100.998,29.95,0.0007,3.2723,221.386,0.084,8.852,9.335,12.265,ISS_079RF_FRINGMRLF002_PRIME,6.79,ISS_080RF_FMOVIE005_PRIME,1.31
VIMS_2008_226_RSCNC_E,2008-08-13T08:17:22,2008-08-13T08:19:34,2008-08-13T08:18:28,80,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,162.121,162.397,162.259,41.74,42.352,42.046,29.95,0.0007,3.2471,221.059,0.038,3.971,4.198,10.497,,38.96,ISS_081RI_FMOVIE106_VIMS,6.96
VIMS_2008_231_GAMCRU_I,2008-08-18T06:02:06,2008-08-18T06:04:37,2008-08-18T06:03:22,81,N/A,GAMCRU,INGRESS,2866.0,2977.0,FAIR,184.638,184.7,184.669,88.702,89.78,89.24,-62.35,0.0074,4.2454,220.176,0.016,1.318,1.631,4.384,ISS_080RF_FMOVIE005_PRIME,3.89,ISS_083RI_FMOVIE109_VIMS,12.7
VIMS_2008_238_GAMCRU_I,2008-08-25T14:37:59,2008-08-25T14:40:30,2008-08-25T14:39:15,82,N/A,GAMCRU,INGRESS,2866.0,2977.0,GOOD,184.357,184.421,184.389,126.18,127.262,126.721,-62.35,0.006,4.4202,218.737,0.045,3.941,4.59,8.039,ISS_081RI_FMOVIE106_VIMS,5.31,ISS_083RI_FMOVIE109_VIMS,5.34
VIMS_2008_263_RSCNC_I,2008-09-18T21:38:11,2008-09-18T21:40:26,2008-09-18T21:39:18,85,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,50.692,50.985,50.838,255.961,256.579,256.27,29.95,0.0006,3.3503,217.108,0.055,5.706,6.06,12.515,ISS_083RI_FMOVIE109_VIMS,18.95,ISS_087RF_FMOVIE003_PRIME,12.02
VIMS_2008_263_RSCNC_E,2008-09-19T04:37:35,2008-09-19T04:39:49,2008-09-19T04:38:42,85,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,160.503,160.793,160.648,196.276,196.895,196.585,29.95,0.0006,3.3653,217.177,0.034,3.275,3.578,5.597,ISS_085RF_FMOVIE003_PRIME_2,2.82,ISS_087RF_FMOVIE003_PRIME,11.73
VIMS_2008_268_GAMCRU_I,2008-09-24T02:16:19,2008-09-24T02:18:50,2008-09-24T02:17:35,86,N/A,GAMCRU,INGRESS,2866.0,2977.0,GOOD,183.694,183.761,183.728,246.338,247.419,246.878,-62.35,0.0051,4.5628,216.811,0.036,2.915,3.714,12.662,ISS_085RF_FMOVIE003_PRIME_1,7.98,ISS_087RF_FMOVIE003_PRIME,6.83
VIMS_2008_271_RLEO_I,2008-09-27T09:59:46,2008-09-27T10:01:42,2008-09-27T10:00:43,86,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,84.02,84.907,84.46,14.491,14.596,14.542,9.55,0.0001,1.1784,217.297,0.009,0.666,0.861,5.453,,38.11,ISS_087RF_FMOVIE003_PRIME,3.51
VIMS_2008_271_RLEO_E,2008-09-27T11:35:40,2008-09-27T11:37:35,2008-09-27T11:36:38,86,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,133.86,134.734,134.301,25.571,25.67,25.622,9.55,0.0001,1.1663,217.297,0.02,1.837,2.057,6.8,,38.18,ISS_087RF_FMOVIE003_PRIME,3.44
VIMS_2008_277_RSCNC_I,2008-10-03T15:25:07,2008-10-03T15:27:24,2008-10-03T15:26:16,87,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,51.382,51.684,51.532,317.959,318.578,318.268,29.95,0.0006,3.352,217.943,0.097,11.361,11.669,15.092,ISS_087RF_FMOVIE003_PRIME,2.72,ISS_089RF_FMOVIE003_PRIME,11.54
