OPUS ID             ,Primary File Spec                         ,Target       ,Start Time              ,Phase Angle ,Duration ,Observed Ring Radius (Min) [Ring] (km) ,Observed Ring Radius (Max) [Ring] (km) ,Observed J2000 Longitude (Min) [Ring] (degrees) ,Observed J2000 Longitude (Max) [Ring] (degrees) ,Observed Resolution (Min) [Ring] (km/pixel) ,Observed Resolution (Max) [Ring] (km/pixel) ,Observed Emission Angle (Min) [Ring] (degrees) ,Observed Emission Angle (Max) [Ring] (degrees) ,Observed Incidence Angle (Min) [Ring] (degrees) ,Note
vg-iss-2-s-c4393227 ,VGISS_6213/DATA/C43932XX/C4393227_RAW.LBL ,Saturn Rings ,1981-08-23T16:51:58.040 ,     14.443 ,    0.96 ,                            112966.476 ,                            148264.046 ,                                        264.389 ,                                        322.157 ,                                   25.26752 ,                                   26.55032 ,                                        15.045 ,                                        76.389 ,                                         77.058 ,81.975                                                         ,A ring composition study

vg-iss-2-s-c4393811 ,VGISS_6213/DATA/C43938XX/C4393811_RAW.LBL ,System       ,1981-08-23T21:27:05.240 ,     10.349 ,    5.76 ,                            109165.226 ,                            215166.693 ,                                        139.492 ,                                        175.655 ,                                   24.53533 ,                                   25.81907 ,                                        10.983 ,                                        76.749 ,                                         77.419 ,81.973                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393815 ,VGISS_6213/DATA/C43938XX/C4393815_RAW.LBL ,System       ,1981-08-23T21:30:17.240 ,     10.093 ,    5.76 ,                            118304.993 ,                            210398.803 ,                                        131.066 ,                                        170.373 ,                                   24.41119 ,                                   25.67708 ,                                        10.73  ,                                        76.689 ,                                         77.357 ,81.973                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393819 ,VGISS_6213/DATA/C43938XX/C4393819_RAW.LBL ,System       ,1981-08-23T21:33:29.240 ,      9.888 ,    5.76 ,                            124598.217 ,                            196769.687 ,                                        119.154 ,                                        163.058 ,                                   24.18713 ,                                   25.42331 ,                                        10.526 ,                                        76.573 ,                                         77.237 ,81.973                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS

vg-iss-2-s-c4393851 ,VGISS_6213/DATA/C43938XX/C4393851_RAW.LBL ,System       ,1981-08-23T21:59:05.240 ,     14.277 ,    5.76 ,                            102602.046 ,                            204894.287 ,                                        342.15  ,                                          4.605 ,                                   22.13828 ,                                   23.18561 ,                                        14.879 ,                                        75.384 ,                                         76.058 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393855 ,VGISS_6213/DATA/C43938XX/C4393855_RAW.LBL ,System       ,1981-08-23T22:02:17.240 ,     14.533 ,    5.76 ,                            101012.801 ,                            194772.432 ,                                        329.453 ,                                        359.182 ,                                   22.267   ,                                   23.32686 ,                                        15.135 ,                                        75.481 ,                                         76.154 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393859 ,VGISS_6213/DATA/C43938XX/C4393859_RAW.LBL ,System       ,1981-08-23T22:05:29.240 ,     14.787 ,    5.76 ,                            102161.004 ,                            180309.152 ,                                        312.338 ,                                        351.703 ,                                   22.46738 ,                                   23.54643 ,                                        15.387 ,                                        75.623 ,                                         76.295 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393903 ,VGISS_6213/DATA/C43939XX/C4393903_RAW.LBL ,System       ,1981-08-23T22:08:41.240 ,     15.101 ,    5.76 ,                            114248.188 ,                            178550.249 ,                                        302.798 ,                                        345.003 ,                                   22.573   ,                                   23.66111 ,                                        15.699 ,                                        75.701 ,                                         76.372 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393907 ,VGISS_6213/DATA/C43939XX/C4393907_RAW.LBL ,System       ,1981-08-23T22:11:53.240 ,     15.37  ,    5.76 ,                            124705.815 ,                            176870.249 ,                                        294.573 ,                                        338.353 ,                                   22.69215 ,                                   23.79057 ,                                        15.966 ,                                        75.788 ,                                         76.457 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393919 ,VGISS_6213/DATA/C43939XX/C4393919_RAW.LBL ,System       ,1981-08-23T22:21:29.240 ,     15.51  ,    5.76 ,                            125278.133 ,                            155691.604 ,                                        272.012 ,                                        320.912 ,                                   23.11072 ,                                   24.25093 ,                                        16.106 ,                                        76.08  ,                                         76.746 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS

vg-iss-2-s-c4394046 ,VGISS_6213/DATA/C43940XX/C4394046_RAW.LBL ,System       ,1981-08-23T23:31:05.240 ,     11.13  ,    5.76 ,                            128443.804 ,                            219919.6   ,                                         48.713 ,                                         69.928 ,                                   21.49987 ,                                   22.48808 ,                                        11.755 ,                                        75.24  ,                                         75.902 ,81.97                                                          ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4394050 ,VGISS_6213/DATA/C43940XX/C4394050_RAW.LBL ,System       ,1981-08-23T23:34:17.240 ,     11.508 ,    5.76 ,                            132210.623 ,                            230008.614 ,                                         43.289 ,                                         59.168 ,                                   21.31703 ,                                   22.29224 ,                                        12.129 ,                                        75.121 ,                                         75.786 ,81.97                                                          ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4394054 ,VGISS_6213/DATA/C43940XX/C4394054_RAW.LBL ,System       ,1981-08-23T23:37:29.240 ,     11.788 ,    5.76 ,                            124557.259 ,                            225644.13  ,                                         39.945 ,                                         54.308 ,                                   21.29402 ,                                   22.27111 ,                                        12.408 ,                                        75.115 ,                                         75.782 ,81.97                                                          ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
