TARGET_NAME,score,set1_opus_id,set2_opus_id,d_phase,d_incidence,d_emission,d_sub_solar_lat,d_sub_obs_lat,d_sub_solar_lon,d_sub_obs_lon,set1_name,set1_volume,set1_file,set1_filter,set1_instrument,set1_phase,set1_incidence,set1_emission,set1_sub_solar_lat,set1_sub_obs_lat,set1_sub_solar_lon,set1_sub_obs_lon,set1_resolution_km_px,set1_fov_fraction,set2_name,set2_volume,set2_file,set2_filter,set2_instrument,set2_phase,set2_incidence,set2_emission,set2_sub_solar_lat,set2_sub_obs_lat,set2_sub_solar_lon,set2_sub_obs_lon,set2_resolution_km_px,set2_fov_fraction
ENCELADUS,5.268410671160691,co-iss-n1602279794,co-iss-w1602279510,0.000999999999990564,3.9679999999999893,3.2340000000000018,0.0,0.003999999999997783,0.8849999999999998,0.8769999999999527,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602279794_1.LBL,"CL1,CL2",ISSNA,72.809,79.6155,45.1915,-4.708,-62.183,3.731,302.381,0.73152,0.6730954895286527,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,5.794068367736082,co-iss-n1602279988,co-iss-w1602279510,0.0030000000000001137,4.386499999999984,3.2040000000000077,0.0,0.006000000000000227,1.4319999999999995,1.4189999999999827,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602279988_1.LBL,"CL1,CL2",ISSNA,72.811,79.197,45.161500000000004,-4.708,-62.181,4.278,302.923,0.74931,0.6571149624321042,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,6.488714067517533,co-iss-n1602280714,co-iss-w1602279510,0.013999999999995794,2.872499999999988,2.9100000000000037,0.0,0.01099999999999568,3.5839999999999996,3.540999999999997,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602280714_1.LBL,"CL1,CL2",ISSNA,72.822,80.711,44.8675,-4.708,-62.176,6.43,305.045,0.81866,0.6014497013412161,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,6.507941648478414,co-iss-n1602280303,co-iss-w1602279510,0.006999999999990791,4.827499999999986,2.7835000000000036,0.0,0.009000000000000341,2.3890000000000002,2.365000000000009,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602280303_2.LBL,"CL1,CL2",ISSNA,72.815,78.756,44.741,-4.708,-62.178,5.235,303.869,0.7803,0.6310173170575419,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,6.916942478436547,co-iss-n1602280440,co-iss-w1602279510,0.007999999999995566,4.758999999999986,3.197500000000005,0.0,0.00999999999999801,2.7510000000000003,2.7210000000000036,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602280440_2.LBL,"CL1,CL2",ISSNA,72.816,78.8245,45.155,-4.708,-62.177,5.597,304.225,0.79195,0.621734721257655,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,7.398252192241079,co-iss-n1602280577,co-iss-w1602279510,0.01099999999999568,4.985499999999988,3.167500000000004,0.0,0.00999999999999801,3.168,3.132000000000005,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602280577_2.LBL,"CL1,CL2",ISSNA,72.819,78.598,45.125,-4.708,-62.177,6.014,304.636,0.80533,0.6114050296151888,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,7.449982567093691,co-iss-n1602281109,co-iss-w1602279510,0.022999999999996135,1.22499999999998,2.9725000000000037,0.0,0.012000000000000455,4.785,4.718999999999994,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602281109_2.LBL,"CL1,CL2",ISSNA,72.831,82.3585,44.93,-4.708,-62.175,7.631,306.223,0.85688,0.5746228322518906,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
ENCELADUS,8.053565375037305,co-iss-n1602280972,co-iss-w1602279510,0.01999999999999602,4.437999999999988,2.738500000000009,0.0,0.012000000000000455,4.368,4.310999999999979,COISS NAC,COISS_2049,data/1602277538_1602387820/N1602280972_2.LBL,"CL1,CL2",ISSNA,72.828,79.1455,44.696000000000005,-4.708,-62.175,7.214,305.815,0.84367,0.583620150651321,COISS WAC,COISS_2049,data/1602277538_1602387820/W1602279510_2.LBL,"CL1,CL2",ISSWA,72.808,83.58349999999999,41.957499999999996,-4.708,-62.187,2.846,301.504,7.0084,0.07025609447234747
RHEA,3.485982214527204,co-iss-n1594711972,co-iss-w1594711972,0.0,1.6059999999999945,3.094000000000001,0.0,0.0,0.0,0.0,COISS NAC,COISS_2047,data/1594708868_1594889264/N1594711972_1.LBL,"CL1,CL2",ISSNA,31.465,59.635,45.056,-5.806,24.823,359.649,352.23,2.9797,0.5004567364164177,COISS WAC,COISS_2047,data/1594708868_1594889264/W1594711972_1.LBL,"CL1,CL2",ISSWA,31.465,58.029,41.961999999999996,-5.806,24.823,359.649,352.23,29.72189,0.050172143746578704
RHEA,4.075760971892255,co-iss-n1807489874,co-iss-w1807490408,0.5129999999999981,3.9895000000000067,0.18549999999999756,0.0,0.007000000000000006,0.49200000000001864,0.39500000000003865,COISS NAC,COISS_2096,data/1807466562_1807508845/N1807489874_1.LBL,"CL1,CL2",ISSNA,29.556,56.84,47.4315,24.0,0.221,335.346,317.232,2.99362,0.4981296682611688,COISS WAC,COISS_2096,data/1807466562_1807508845/W1807490408_1.LBL,"CL1,CL2",ISSWA,30.069,52.8505,47.246,24.0,0.228,335.838,316.837,29.74352,0.05013565769955943
TETHYS,5.474842052516214,co-iss-n1607520227,co-iss-w1607520887,0.3059999999999974,4.528500000000008,1.7495000000000047,0.0,1.9939999999999998,1.4559999999999604,0.464999999999975,COISS NAC,COISS_2050,data/1607482567_1607567228/N1607520227_1.LBL,"CL1,CL2",ISSNA,83.926,85.099,45.01,-3.384,61.286,346.66,275.837,1.48175,0.6999219672684327,COISS WAC,COISS_2050,data/1607482567_1607567228/W1607520887_1.LBL,"CL1,CL2",ISSWA,84.232,80.5705,46.7595,-3.384,59.292,348.116,275.372,14.58053,0.07112974459776154
